PERMNO,HCOMNAM,HTSYMBOL,HNAICS
10001,GAS NATURAL INC,EGAS,221210
10002,BANCTRUST FINANCIAL GROUP INC,BTFG,551111
10025,A E P INDUSTRIES INC,AEPI,326113
10026,J & J SNACK FOODS CORP,JJSF,311821
10028,D G S E COMPANIES INC,DGSE,448310
10032,PLEXUS CORP,PLXS,334412
10042,CANYON RESOURCES CORP,CAU,212221
10044,ROCKY MOUNTAIN CHOC FAC INC NEW,RMCF,311330
10051,HANGER INC,HGR,339113
10056,NEWMIL BANCORP INC,NMIL,522120
10065,ADAMS EXPRESS CO,ADX,525990
10078,SUN MICROSYSTEMS INC,JAVA,334111
10085,U I C I,UCI,524113
10092,4 KIDS ENTERTAINMENT INC,KDE,711110
10100,AMERICAN LEARNING CORP NY,ALRN,624310
10104,ORACLE CORP,ORCL,511210
10107,MICROSOFT CORP,MSFT,511210
10113,ADVISORSHARES TRUST,AADR,525990
10116,ACURA PHARMACEUTICALS INC,ACUR,325412
10119,21ST CENTURY INSURANCE GROUP,TW,524126
10137,ALLEGHENY ENERGY INC,AYE,221121
10138,T ROWE PRICE GROUP INC,TROW,523930
10143,O S I PHARMACEUTICALS INC,OSIP,541710
10145,HONEYWELL INTERNATIONAL INC,HON,336390
10147,E M C CORP MA,EMC,334112
10151,ADVISORSHARES TRUST,AGLS,525990
10158,AMERESCO INC,AMRC,541611
10163,X RITE INC,XRIT,333316
10180,AKORN INC,AKRX,325412
10182,TECH DATA CORP,TECD,425110
10200,REPLIGEN CORP,RGEN,325414
10201,ATLANTIC POWER CORP,AT,221210
10205,L S B CORP,LSBX,522110
10207,SPROTT FOCUS TRUST INC,FUND,525990
10211,WESTCORP INC,WES,522120
10220,BABCOCK & WILCOX CO NEW,BWC,541711
10223,CAMELOT INFORMATION SYSTEMS INC,CIS,541511
10225,BEAM INC,BEAM,312120
10232,ELMIRA SAVINGS BANK NY,ESBK,522110
10238,GREAT LAKES BANCORP INC NEW,GLK,522120
10239,BALDWIN & LYONS INC,BWINB,524126
10252,INDEPENDENT BANK CORP MA,INDB,522110
10253,DOCUMENT SECURITY SYSTEMS INC,DSS,323111
10257,D L H HOLDINGS CORP,DLHC,561320
10258,CELLDEX THERAPEUTICS INC,CLDX,325413
10259,SIGMA DESIGNS INC,SIGM,511210
10271,MASSBANK CORP,MASB,522110
10272,TEKELEC,TKLC,334220
10290,HARLEYSVILLE GROUP INC,HGIC,524126
10294,HAVERTY FURNITURE COS INC,HVTA,442110
10297,LAKE SUNAPEE BANK GROUP,LSBG,522120
10299,LINEAR TECHNOLOGY CORP,LLTC,334413
10302,CYPRESS SEMICONDUCTOR CORP,CY,334413
10304,AMCORE FINANCIAL INC,AMFI,551111
10308,TOMPKINS FINANCIAL CORP,TMP,551112
10318,BALCHEM CORP,BCPC,325199
10324,GENZYME CORP,GENZ,325414
10333,XOMA CORP,XOMA,325412
10342,INAMED CORP,IMDC,332994
10353,A D P T CORP,ADPT,334418
10355,DAILY JOURNAL CORP,DJCO,511110
10362,BUTLER INTERNATIONAL INC NEW,BUTLE,561320
10363,A M A G PHARMACEUTICALS INC,AMAG,325413
10371,CANDELA CORP,CLZR,334510
10375,T C F FINANCIAL CORP,TCB,522110
10382,ASTEC INDUSTRIES INC,ASTE,336510
10383,CYTOGEN CORP,CYTO,325412
10395,NAVIGATORS GROUP INC,NAVG,524126
10397,WERNER ENTERPRISES INC,WERN,484121
10404,REWARDS NETWORK INC,DINE,523930
10421,SKYWEST INC,SKYW,481111
10443,F R P HOLDINGS INC,FRPH,484230
10463,RESEARCH FRONTIERS INC,REFR,334510
10488,AMERICAN LOCKER GROUP,ALGI,421440
10501,AMERICAN WOODMARK CORP,AMWD,321999
10507,MEDICAL ACTION INDS INC,MDCI,339113
10514,TRANS WORLD ENTERTAINMENT CORP,TWMC,443142
10516,ARCHER DANIELS MIDLAND CO,ADM,311224
10517,AARONS INC,AAN,443141
10530,MERIDIAN BIOSCIENCE INC,VIVO,325412
10547,CLEARFIELD INC,CLFD,334417
10550,PRO DEX INC COLO,PDEX,334510
10560,ABITIBI CONSOLIDATED INC,ABY,322121
10562,SOVEREIGN BANCORP INC,SOV,522120
10563,HORIZON FINANCIAL CORP WASH,HRZB,522110
10568,SERVIDYNE INC,SERV,236220
10574,BENTLEY PHARMACEUTICALS INC,BNT,325412
10586,QUIPP INC,QUIP,321920
10597,FRANKLIN ELECTRONIC PUBLSHS INC,FEP,334111
10606,WATTS WATER TECHNOLOGIES INC,WTS,332911
10623,FIRST REPUBLIC BANK S F,FRC,522120
10629,F N B CORP PA,FNB,522110
10638,HARLEYSVILLE NATIONAL CORP PA,HNBC,522110
10644,THERAGENICS CORP,TGX,334510
10645,LAKELAND INDUSTRIES INC,LAKE,334510
10649,P A M TRANSPORTATION SVCS INC,PTSI,484122
10650,ACCESS ANYTIME BANCORP,AABC,522110
10656,ACETO CORP,ACET,424690
10657,ADVO INC,AD,541860
10659,BIO REFERENCE LABORATORIES INC,BRLI,621512
10661,CYANOTECH CORP,CYAN,325411
10667,FUEL SYSTEMS SOLUTIONS INC,FSYS,336310
10682,UNITED FINANCIAL CORP,UBMT,522110
10693,HEALTHSOUTH CORP,HLS,621498
10696,FISERV INC,FISV,518210
10709,MANATRON INC,MANA,541512
10769,CENTRAL BANCORP INC,CEBK,522110
10772,S E D INTERNATIONAL HOLDINGS INC,SED,423430
10777,FIRST CITIZENS BANCSHARES INC NC,FCNCA,522110
10779,RELM WIRELESS CORP,RWC,334220
10781,BANK SOUTH CAROLINA CORP,BKSC,522110
10785,CALIFORNIA MICRO DEVICES CORP,CAMD,334411
10812,HEARTLAND EXPRESS INC,HTLD,484122
10822,GAINSCO INC,GAN,524126
10825,SOUTH FINL GROUP INC,TSFG,522110
10838,CYTRX CORP,CYTR,325412
10843,ARGONAUT GROUP INC,AGII,524113
10853,RENTRAK CORP,RENT,711510
